,18.0,23.06,28.13,33.19,38.25,43.31,48.38,53.44,58.5,63.56,68.63,73.69,78.75,83.81,88.88,93.94,99.0
1750.0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,21,62,0
2359.38,0,0,801,2497,3,2,0,0,0,0,0,0,0,0,0,0,0
2968.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3578.13,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4187.5,8,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
4796.88,8,12,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0
5406.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6015.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7234.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7843.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8453.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9062.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9671.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10281.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10890.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
